species, ID
Actinobacillus equuli,sp01
Actinobacillus pleuropneumoniae,sp02
Aeromonas hydrophila,sp03
Bacillus cereus,sp04
Bibersteinia trehalosi,sp05
Bordetella bronchiseptica,sp06
Brucella ovis,sp07
Clostridium perfringens,sp08
Corynebacterium pseudotuberculosis,sp9
Erysipelothrix rhusiopathiae,sp10
Escherichia coli,sp11
Glaesserella parasuis,sp12
Klebsiella pneumoniae,sp13
Listeria monocytogenes,sp14
Paenibacillus larvae,sp15
Pasteurella multocida,sp16
Proteus mirabilis,sp17
Pseudomonas aeruginosa,sp18
Rhodococcus equi,sp19
Salmonella enterica,sp20
Staphylococcus aureus,sp21
Staphylococcus hyicus,sp22
Streptococcus agalactiae,sp23
Trueperella pyogenes,sp24






















